ownership_date,committer_id,ownership_count_90,ownership_count_80,ownership_count_70,commits_since_last_date,num_changed_loc_since_last_date,active_since_last_date,ownership_count_simple_majority,total_num_files_committed_to_so_far,num_files_committed_to_since_last_date,total_commits_so_far,minority_contributor_count,ownership_count_100
2008-11-02 19:24:20,21,11,12,13,2,22,t,18,65,1,78,8,11
2008-11-02 19:24:20,2,2,2,2,46,1792,t,5,149,23,159,17,2
2008-11-02 19:24:20,72,141,188,226,8,246,t,462,772,3,883,8,135
2008-11-02 19:24:20,41,16538,16565,16615,1469,458674,t,17099,23564,4279,1966,117,16538
2008-11-02 19:24:20,5,0,0,1,34,536,t,2,8,8,24,6,0
2008-11-02 19:24:20,7,0,0,0,0,0,f,0,8,0,3,0,0
2012-03-18 10:01:57,43,22,22,22,0,0,f,76,287,0,350,72,20
2012-03-18 10:01:57,8,29,30,30,30,4692,t,68,205,29,182,30,29
2012-03-18 10:01:57,11,2,2,2,88,1908,t,3,117,116,50,35,2
2012-03-18 10:01:57,39,13,13,13,0,0,f,76,172,0,27,46,13
2012-03-18 10:01:57,16,0,0,0,8,125,t,4,123,8,64,29,0
2012-03-18 10:01:57,54,0,0,0,7,1248,t,1,19,7,75,5,0
2012-03-18 10:01:57,3,0,0,0,0,0,f,13,66,0,51,31,0
2012-03-18 10:01:57,47,0,0,0,6,80,t,0,5,5,4,4,0
2012-03-18 10:01:57,61,2,2,2,11,493,t,2,9,8,7,5,2
2012-03-18 10:01:57,67,0,0,0,16,228,t,4,26,13,23,15,0
2012-03-18 10:01:57,14,0,0,0,0,0,f,1,4,0,15,2,0
2012-03-18 10:01:57,46,0,0,0,0,0,f,0,9,0,4,9,0
2012-03-18 10:01:57,48,11,15,24,0,0,f,178,230,0,18,0,11
2012-03-18 10:01:57,28,353,441,561,4,10,t,5327,7070,4,771,181,338
2012-03-18 10:01:57,17,0,0,0,0,0,f,0,2,0,5,2,0
2012-03-18 10:01:57,36,726,762,869,12,472,t,2358,3558,11,518,113,725
2012-03-18 10:01:57,15,0,0,0,8,49,t,0,14,13,10,12,0
2012-03-18 10:01:57,66,0,0,2,17,90,t,27,167,25,76,54,0
2012-03-18 10:01:57,77,0,0,0,0,0,f,0,5,0,4,3,0
2012-03-18 10:01:57,30,138,148,162,297,14103,t,234,605,191,787,118,126
2012-03-18 10:01:57,4,0,0,0,0,0,f,0,1,0,1,0,0
2012-03-18 10:01:57,50,136,137,137,50,3754,t,316,878,49,74,41,136
2012-03-18 10:01:57,73,5734,5739,5740,17,1152,t,5781,5943,24,304,36,5733
2012-03-18 10:01:57,33,0,0,0,472,240414,t,0,3360,3360,1,0,0
2012-03-18 10:01:57,40,37,44,44,175,9417,t,139,501,124,453,57,37
2012-03-18 10:01:57,56,0,0,0,11,477,t,0,8,8,9,2,0
2012-03-18 10:01:57,53,0,0,0,0,0,f,0,1,0,1,1,0
2012-03-18 10:01:57,62,0,0,0,0,0,f,0,3,0,4,3,0
2012-03-18 10:01:57,19,1,1,1,0,0,f,3,38,0,43,19,1
2012-03-18 10:01:57,57,9,9,9,2,122,t,26,89,1,98,28,9
2012-03-18 10:01:57,51,7,7,7,0,0,f,67,453,0,332,55,7
2012-03-18 10:01:57,23,0,0,0,0,0,f,0,2,0,2,1,0
2012-03-18 10:01:57,31,1,1,1,0,0,f,39,118,0,42,28,1
2012-03-18 10:01:57,35,9,9,9,27,1548,t,18,27,19,35,2,9
2012-03-18 10:01:57,65,0,0,0,0,0,f,0,2,0,6,2,0
2012-03-18 10:01:57,76,24,26,31,381,6660,t,221,781,175,1326,82,24
2012-03-18 10:01:57,52,37,37,38,0,0,f,52,185,0,61,17,37
2012-03-18 10:01:57,20,0,0,0,0,0,f,0,3,0,3,3,0
2012-03-18 10:01:57,69,0,0,0,5,137,t,0,4,4,3,4,0
2012-03-18 10:01:57,44,30,34,48,0,0,f,123,524,0,164,43,30
